Loviflo  ;9;15;0;9;6;53;;;;30;Distinguished M-G      ;  Nuke  ;   2021-02-09 20:57:52  ;  00:01:52  ;  00:13:17  ;  7 : 9 
Ilesis  ;11;2;1;12;1;50;;;;5;Distinguished M-G      ;  Nuke  ;   2021-02-09 20:57:52  ;  00:01:52  ;  00:13:17  ;  7 : 9 
Varty  ;28;12;2;9;4;91;;;;26;Supreme Elite          ;  Nuke  ;   2021-02-09 20:57:52  ;  00:01:52  ;  00:13:17  ;  7 : 9 
wArt  ;16;9;0;8;5;22;;;;18;Silver 1               ;  Nuke  ;   2021-02-09 20:57:52  ;  00:01:52  ;  00:13:17  ;  7 : 9 
Loviflo  ;16;11;1;0;6;9;;;;23;Distinguished M-G      ;  Nuke  ;   2021-02-09 20:46:48  ;  00:01:12  ;  00:06:47  ;  9 : 0 
Ilesis  ;23;7;4;2;3;28;;;;18;Distinguished M-G      ;  Nuke  ;   2021-02-09 20:46:48  ;  00:01:12  ;  00:06:47  ;  9 : 0 
EON  ;42;1;0;9;0;0;;;;2;Unrank                 ;  Nuke  ;   2021-02-09 20:46:48  ;  00:01:12  ;  00:06:47  ;  9 : 0 
potter  ♋  ;34;1;0;9;0;100;;;;2;Legendary Eagle Master ;  Nuke  ;   2021-02-09 20:46:48  ;  00:01:12  ;  00:06:47  ;  9 : 0 
heynow  ;41;12;1;7;5;25;;;;25;Legendary Eagle        ;  Cobblestone  ;   2021-02-09 20:35:28  ;  00:00:17  ;  00:08:09  ;  9 : 4 
OmegaMaxx  ;15;7;0;4;4;0;;;;14;Legendary Eagle        ;  Cobblestone  ;   2021-02-09 20:35:28  ;  00:00:17  ;  00:08:09  ;  9 : 4 
Ilesis  ;27;8;1;9;2;25;;;;17;Legendary Eagle        ;  Cobblestone  ;   2021-02-09 20:35:28  ;  00:00:17  ;  00:08:09  ;  9 : 4 
Loviflo  ;27;3;2;10;2;33;;;;8;Legendary Eagle        ;  Cobblestone  ;   2021-02-09 20:35:28  ;  00:00:17  ;  00:08:09  ;  9 : 4 
BARTOLOMEO  ;70;14;0;7;6;35;;;;37;Legendary Eagle        ;  Nuke  ;   2021-02-07 21:09:21  ;  00:01:05  ;  00:17:09  ;  9 : 7 
Chmur  ;24;7;4;10;3;28;;;;18;Legendary Eagle        ;  Nuke  ;   2021-02-07 21:09:21  ;  00:01:05  ;  00:17:09  ;  9 : 7 
Loviflo  ;27;10;2;9;5;40;;;;25;Legendary Eagle        ;  Nuke  ;   2021-02-07 21:09:21  ;  00:01:05  ;  00:17:09  ;  9 : 7 
Ilesis  ;27;7;5;12;2;42;;;;24;Legendary Eagle        ;  Nuke  ;   2021-02-07 21:09:21  ;  00:01:05  ;  00:17:09  ;  9 : 7 
Loviflo  ;29;7;0;9;1;28;;;;16;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 20:56:57  ;  00:01:18  ;  00:09:20  ;  3 : 9 
Ilesis  ;39;4;3;11;2;25;;;;11;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 20:56:57  ;  00:01:18  ;  00:09:20  ;  3 : 9 
ElementaR  ;27;10;3;5;6;40;;;;28;Legendary Eagle Master ;  Cobblestone  ;   2021-02-07 20:56:57  ;  00:01:18  ;  00:09:20  ;  3 : 9 
ReJzi CASEDROP.eu  ;50;10;3;6;3;50;;;;25;Master Guardian 2      ;  Cobblestone  ;   2021-02-07 20:56:57  ;  00:01:18  ;  00:09:20  ;  3 : 9 
miruni  ;27;9;1;3;5;44;;;;19;Distinguished M-G      ;  Cobblestone  ;   2021-02-07 20:46:25  ;  00:01:05  ;  00:06:46  ;  9 : 2 
oji  ;30;9;1;3;4;22;;;;19;Legendary Eagle Master ;  Cobblestone  ;   2021-02-07 20:46:25  ;  00:01:05  ;  00:06:46  ;  9 : 2 
Ilesis  ;40;3;0;10;1;100;;;;6;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 20:46:25  ;  00:01:05  ;  00:06:46  ;  9 : 2 
Loviflo  ;36;2;0;9;1;0;;;;4;Legendary Eagle        ;  Cobblestone  ;   2021-02-07 20:46:25  ;  00:01:05  ;  00:06:46  ;  9 : 2 
pro_100ychel  ;59;13;1;8;7;46;;;;31;Legendary Eagle        ;  Nuke  ;   2021-02-07 18:57:30  ;  00:01:05  ;  00:11:50  ;  8 : 8 
